"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"778","Fiji",2000,75.72492,28.2,133.85,NA,50.06,0.18,0,0.44,70.96774,9308.956,2.75,810,NA,-1.699998416,2069.317455,49,18274,-17.713371,178.065032
"779","Fiji",2001,77.00068,28.15,133.42,NA,40.44,0.17,0,0.5,74.62686,9574.995,2.97,1040,NA,2.000000147,2030.246351,49,18274,-17.713371,178.065032
"780","Fiji",2002,79.63,28.2,133.24,NA,48.98,0.21,0,0.5,70.42254,8027.728,2.69,879.9999952,NA,3.199999114,2248.714191,49,18274,-17.713371,178.065032
"781","Fiji",2003,80,28.3,133.15,NA,40.83,0.31,0,0.41,56.944443,8717.398,2.79,1049.999952,NA,0.999999345,2818.91392,49,18274,-17.713371,178.065032
"782","Fiji",2004,80.79184,28.5,140.77,310000,35.72,0.31,0,0.44,58.666668,11433.929,3.27,1470.000029,NA,5.299999705,3311.159895,49,18274,-17.713371,178.065032
"783","Fiji",2005,82.05135,28.7,140.22,260000,40.02,0.37,0,0.42,53.164555,9695.102,2.72,1289.999962,NA,0.700000402,3627.632856,49,18274,-17.713371,178.065032
"784","Fiji",2006,83.31274,29.2,153.81,NA,39.07,0.39,0,0.45,53.57143,10524.99,2.91,1379.999995,NA,1.852483872,3715.932657,49,18274,-17.713371,178.065032
"785","Fiji",2007,88.9,29.6,164.45,50000,36.04,0.27,0,0.6,68.96552,10062.741,2.7,1259.99999,NA,-0.85065431,4040.152119,49,18274,-17.713371,178.065032
"786","Fiji",2008,86.16,30.2,173.35,NA,40.89,0.26,0,0.62,70.454544,7890.7285,2.15,970.0000286,NA,1.03279422,4167.694935,49,18274,-17.713371,178.065032
"787","Fiji",2009,87.134865,31,171.69,96070000,40.09,0.28,0,0.58,67.44186,6803.4795,1.93,970.0000286,NA,-1.386037708,3362.820495,49,18274,-17.713371,178.065032
"788","Fiji",2010,89.24858,31.9,170.56,NA,26.49,0.35,0,0.55,61.111115,9167.494,2.29,1159.999967,NA,2.954672422,3652.535933,49,18274,-17.713371,178.065032
"789","Fiji",2011,90.146126,33.2,169.88,10000,31.15,0.3,0,0.56,65.11628,7085.0757,2.23,1110.000014,NA,2.705143029,4371.447385,49,18274,-17.713371,178.065032
"790","Fiji",2012,91.07083,34.5,221.18,110000,31.73,0.24,0,0.62,72.093025,7121.2935,2.11,1029.999971,NA,1.411314382,4591.577015,49,18274,-17.713371,178.065032
"791","Fiji",2013,91.75,36.6,220.53,4710000,32.81,0.27,0,0.61,69.318184,7502.866,2.19,1129.999995,NA,4.73421949,4840.72727,49,18274,-17.713371,178.065032
"792","Fiji",2014,93.786606,38.1,220.93,6670000,33.17,0.38,0,0.53,58.241753,7886.4253,2.33,1289.999962,NA,5.603514887,5605.609148,49,18274,-17.713371,178.065032
"793","Fiji",2015,95.16824,40.3,222.02,1700000,32.74,0.43,0,0.53,55.208332,8231.743,2.3,1379.999995,NA,4.501199392,5390.714207,49,18274,-17.713371,178.065032
"794","Fiji",2016,96.561745,42.4,223.35,180000,27.68,0.36,0,0.6,62.500004,8094.5083,2.01,1519.999981,NA,2.445652008,5651.272721,49,18274,-17.713371,178.065032
"795","Fiji",2017,96,44.6,238.59,50000,28.55,0.41,0,0.64,60.952385,8787.309,2.15,1649.999976,NA,5.353364937,6101.02389,49,18274,-17.713371,178.065032
"796","Fiji",2018,99.372505,46.7,239.61,5620000,25.8,0.38,0,0.71,65.13761,9316.589,2.12,1629.999995,NA,3.81235097,6317.41372,49,18274,-17.713371,178.065032
"797","Fiji",2019,99.71588,49.4,237.93,110000,26.48,0.42,0,0.71,62.83186,9417.632,2.15,1629.999995,NA,-0.445563044,6175.890653,49,18274,-17.713371,178.065032
"798","Fiji",2020,100,51.4,236.38,NA,NA,0.4,0,0.7,63.636364,9030.606,NA,NA,NA,-15.71180398,5057.631913,49,18274,-17.713371,178.065032
"106","Australia",2000,100,100,NA,NA,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.912427733,21697.70848,3,7741220,-25.274398,133.775136
"107","Australia",2001,100,100,NA,NA,8.37,194.33,0,17.4,8.218014,68338.28,5.91,345640,3.870762,2.038300732,19527.32358,3,7741220,-25.274398,133.775136
"108","Australia",2002,100,100,NA,NA,8.74,197.29,0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3,7741220,-25.274398,133.775136
"109","Australia",2003,100,100,NA,NA,7.15,195.13,0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3,7741220,-25.274398,133.775136
"110","Australia",2004,100,100,NA,NA,6.68,203.66,0,19.41,8.701304,70486.32,5.65,365809.9976,4.0365605,4.205446887,30513.94174,3,7741220,-25.274398,133.775136
"111","Australia",2005,100,100,NA,NA,6.71,195.95,0,19.75,9.156236,69917.164,5.52,370089.9963,4.3135533,3.160338325,34080.9999,3,7741220,-25.274398,133.775136
"112","Australia",2006,100,100,NA,NA,6.85,198.72,0,21.19,9.63576,71863.76,5.58,375489.9902,4.233413,2.726893446,36117.48798,3,7741220,-25.274398,133.775136
"113","Australia",2007,100,100,NA,NA,6.95,208.59,0,20.93,9.119031,72304.695,5.52,385750,3.9767227,3.768487516,41001.14298,3,7741220,-25.274398,133.775136
"114","Australia",2008,100,100,NA,NA,6.79,211.06,0,18.49,8.05489,72089.34,5.53,388940.0024,3.6813264,3.577014878,49654.9106,3,7741220,-25.274398,133.775136
"115","Australia",2009,100,100,NA,NA,7.15,216.42,0,18.32,7.804379,69689.84,5.43,395290.0085,3.9202662,1.86683207,42783.32257,3,7741220,-25.274398,133.775136
"116","Australia",2010,100,100,NA,NA,8.16,212.5,0,21.13,9.044215,68523.875,5.33,387540.0085,4.3128047,2.172337091,52087.97229,3,7741220,-25.274398,133.775136
"117","Australia",2011,100,100,NA,NA,8.32,213.56,0,27.33,11.3454275,69714.19,5.23,386380.0049,5.698981,2.469746294,62574.1457,3,7741220,-25.274398,133.775136
"118","Australia",2012,100,100,NA,NA,8.29,206.75,0,26.63,11.410575,67583.03,4.98,386970.0012,5.700209,3.917362463,68027.84171,3,7741220,-25.274398,133.775136
"119","Australia",2013,100,100,NA,NA,9.21,195.78,0,34.2,14.870858,67307.04,4.93,380279.9988,6.525869,2.600211881,68156.62792,3,7741220,-25.274398,133.775136
"120","Australia",2014,100,100,NA,NA,9.32,205.46,0,36.15,14.96213,66744.195,4.78,371630.0049,5.979823,2.562931521,62511.69059,3,7741220,-25.274398,133.775136
"121","Australia",2015,100,100,NA,NA,9.31,197.72,0,33.12,14.3476,67234.93,4.67,377799.9878,6.290021,2.172204753,56707.02208,3,7741220,-25.274398,133.775136
"122","Australia",2016,100,100,NA,NA,9.42,207.66,0,38.41,15.609379,66407.09,4.54,384989.9902,7.1891756,2.741643069,49881.76371,3,7741220,-25.274398,133.775136
"123","Australia",2017,100,100,NA,NA,9.69,209.14,0,40.77,16.313873,65146.316,4.49,389160.0037,6.750127,2.295926947,53934.25018,3,7741220,-25.274398,133.775136
"124","Australia",2018,100,100,NA,NA,9.67,207.45,0,42.93,17.145937,65072.668,4.39,387070.0073,8.300061,2.87097248,57180.7794,3,7741220,-25.274398,133.775136
"125","Australia",2019,100,100,NA,NA,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
"126","Australia",2020,100,100,NA,NA,NA,186.92,0,63.99,25.503168,61826.21,NA,NA,10.789811,-0.003836559,51692.84275,3,7741220,-25.274398,133.775136
"2122","Samoa",2000,87.85783,18.6,86.04,NA,59.69,0.05,0,0.05,50,5050.979,5.31,150,NA,6.918794454,1542.066736,70,2831,-13.759029,-172.104629
"2123","Samoa",2001,88.58465,19.4,85.58,NA,52.41,0.05,0,0.06,54.545456,5352.6963,4.67,160,NA,6.939761793,1556.999425,70,2831,-13.759029,-172.104629
"2124","Samoa",2002,89.30388,19.9,85.09,NA,49.58,0.05,0,0.07,58.333336,5618.493,4.48,170.0000018,NA,4.343996108,1633.007661,70,2831,-13.759029,-172.104629
"2125","Samoa",2003,90.01788,20.8,84.57,NA,52.41,0.05,0,0.06,54.545456,5643.448,4.48,170.0000018,NA,4.515482455,1909.154441,70,2831,-13.759029,-172.104629
"2126","Samoa",2004,90.729,21.5,84.04,NA,48.82,0.05,0,0.06,54.545456,5624.824,4.19,189.9999976,NA,4.625000762,2353.455973,70,2831,-13.759029,-172.104629
"2127","Samoa",2005,91.43957,22.3,83.6,NA,48.89,0.05,0,0.06,54.545456,5678.59,4.12,209.9999934,NA,4.156489543,2590.489858,70,2831,-13.759029,-172.104629
"2128","Samoa",2006,96.37173,23.2,69.24,NA,45.96,0.06,0,0.05,45.454544,5844.4766,3.8,200.000003,NA,1.968808341,2796.601169,70,2831,-13.759029,-172.104629
"2129","Samoa",2007,92.86899,24,68.8,NA,43.18,0.06,0,0.05,45.454544,6201.1836,3.6,200.000003,NA,6.322644804,3133.671327,70,2831,-13.759029,-172.104629
"2130","Samoa",2008,98.1,25.1,68.34,NA,44.87,0.06,0,0.05,45.454544,6318.109,3.31,170.0000018,NA,1.009087755,3378.953029,70,2831,-13.759029,-172.104629
"2131","Samoa",2009,97.9,25.9,67.86,0,43.28,0.06,0,0.05,45.454544,6564.24,3.56,180.0000072,NA,-4.808273849,3168.228207,70,2831,-13.759029,-172.104629
"2132","Samoa",2010,96.36105,26.8,67.35,2e+05,41.28,0.06,0,0.05,45.454544,6500.349,3.75,189.9999976,NA,0.467245822,3566.42836,70,2831,-13.759029,-172.104629
"2133","Samoa",2011,96.66857,27.8,66.81,NA,40.26,0.07,0,0.05,41.666668,6521.698,3.59,200.000003,NA,4.103640825,3932.105847,70,2831,-13.759029,-172.104629
"2134","Samoa",2012,96.826935,28.6,46.98,NA,40.26,0.07,0,0.04,36.363636,6256.2554,3.86,200.000003,NA,-4.084494013,4020.959844,70,2831,-13.759029,-172.104629
"2135","Samoa",2013,97.416534,29.5,47.37,4700000,42.61,0.08,0,0.03,27.272728,6016.6445,3.94,200.000003,NA,-0.342327336,4037.813829,70,2831,-13.759029,-172.104629
"2136","Samoa",2014,97.9,30.4,65.1,32460000,41.24,0.09,0,0.03,25,6062.045,4.11,209.9999934,NA,0.052170614,3937.186246,70,2831,-13.759029,-172.104629
"2137","Samoa",2015,99.067085,31.4,73.4,10000,37.47,0.09,0,0.04,30.769232,6971.546,4.31,239.9999946,NA,4.296880765,4071.926959,70,2831,-13.759029,-172.104629
"2138","Samoa",2016,99.62329,32.4,85.61,0,36.82,0.09,0,0.05,35.714287,7356.9272,4.11,300.0000119,NA,8.126249353,4109.663228,70,2831,-13.759029,-172.104629
"2139","Samoa",2017,96.8,33.6,135.77,2050000,35.79,0.09,0,0.05,35.714287,7347.693,4.17,310.0000024,NA,1.042433719,4258.978767,70,2831,-13.759029,-172.104629
"2140","Samoa",2018,99.99448,34.6,136.05,NA,36.63,0.09,0,0.06,40,7217.7256,4.23,289.9999917,NA,-1.233162407,4187.504729,70,2831,-13.759029,-172.104629
"2141","Samoa",2019,99.2,35.3,142.74,NA,34.21,0.09,0,0.06,40,7697.959,4.44,300.0000119,NA,4.379825545,4322.868457,70,2831,-13.759029,-172.104629
"2142","Samoa",2020,100,36.5,141.8,NA,NA,0.1,0,0.06,37.5,7222.1904,NA,NA,NA,-2.5926083,4067.843459,70,2831,-13.759029,-172.104629
"1282","Kazakhstan",2000,99.50956,84.4,151.45,NA,2.5,44.11,NA,7.53,14.581719,24267.602,9.77,120150,6.0228243,9.800000002,1229.001247,7,2724900,48.019573,66.923684
"1283","Kazakhstan",2001,99.65,85.7,151.57,NA,2.41,47.3,NA,8.08,14.590104,27235.379,8.33,117440,5.704264,13.5,1490.92709,7,2724900,48.019573,66.923684
"1284","Kazakhstan",2002,99.81,86.5,150.91,NA,2.77,49.44,NA,8.89,15.240871,27638.352,8.73,131059.9976,6.120414,9.8,1658.030785,7,2724900,48.019573,66.923684
"1285","Kazakhstan",2003,99.92,87.4,149.67,NA,2.28,55.24,NA,8.62,13.498278,30142.02,8.66,146139.9994,5.3825555,9.3,2068.123979,7,2724900,48.019573,66.923684
"1286","Kazakhstan",2004,99.96,87.8,148.39,NA,1.89,58.89,NA,8.06,12.0388365,31813.24,9.31,158029.9988,4.701576,9.600000001,2874.288483,7,2724900,48.019573,66.923684
"1287","Kazakhstan",2005,100,88.7,146.02,NA,2.09,60.06,NA,7.86,11.572438,32415.734,8.51,169210.0067,4.4324117,9.699999999,3771.278957,7,2724900,48.019573,66.923684
"1288","Kazakhstan",2006,99.76655,89.3,144.76,361570000,2.13,63.89,NA,7.77,10.842869,34517.496,9.15,185300.0031,4.047025,10.7,5291.575305,7,2724900,48.019573,66.923684
"1289","Kazakhstan",2007,100,89.9,143.4,57660000,1.83,68.45,NA,8.17,10.663012,37807.3,9.16,198389.9994,3.8181744,8.9,6771.414797,7,2724900,48.019573,66.923684
"1290","Kazakhstan",2008,100,90.55,142.74,2670000,1.15,72.89,NA,7.46,9.284381,39400.227,9.38,242029.9988,3.2849119,3.3,8458.017154,7,2724900,48.019573,66.923684
"1291","Kazakhstan",2009,100,91.2,141.26,NA,1.31,71.85,NA,6.88,8.738727,34913.5,8.42,213610.0006,3.3547347,1.199999999,7165.223175,7,2724900,48.019573,66.923684
"1292","Kazakhstan",2010,100,91.7,140.02,1360000,1.38,74.63,NA,8.02,9.703569,36949.332,8.55,229699.9969,3.6240573,7.3,9070.488253,7,2724900,48.019573,66.923684
"1293","Kazakhstan",2011,99.79747,92.3,138.11,1710000,1.38,78.7,NA,7.88,9.101409,41342.99,8.9,245449.9969,3.1190946,7.400000001,11634.0012,7,2724900,48.019573,66.923684
"1294","Kazakhstan",2012,100,92.4,154.11,27490000,1.33,82.98,NA,7.64,8.43081,42868.23,8.12,244600.0061,2.8572173,4.8,12386.69927,7,2724900,48.019573,66.923684
"1295","Kazakhstan",2013,100,92.6,153.18,20000,1.16,84.88,NA,7.73,8.34683,42457.91,8.45,260010.0098,2.8628833,5.999999999,13890.63096,7,2724900,48.019573,66.923684
"1296","Kazakhstan",2014,100,92.9,162.11,37380000,1.34,86.37,NA,8.27,8.738378,43947.973,6.48,209229.9957,2.982452,4.200000001,12807.26069,7,2724900,48.019573,66.923684
"1297","Kazakhstan",2015,100,93.3,164.65,48470000,1.72,82.2,NA,9.45,10.310966,36005.64,5.38,190729.9957,3.5664272,1.2,10510.77189,7,2724900,48.019573,66.923684
"1298","Kazakhstan",2016,100,93.1,165.5,45870000,2.07,82.65,NA,11.98,12.659833,39906.78,6.22,202149.9939,4.4041133,1.1,7714.841844,7,2724900,48.019573,66.923684
"1299","Kazakhstan",2017,100,93.1,166.77,150150000,2.02,91.48,NA,11.64,11.28782,42406.99,6.08,214580.0018,4.0426664,4.1,9247.581331,7,2724900,48.019573,66.923684
"1300","Kazakhstan",2018,100,92.9,183.89,250340000,1.88,96.36,NA,10.91,10.170598,43320.58,6.65,216600.0061,3.3888385,4.1,9812.626371,7,2724900,48.019573,66.923684
"1301","Kazakhstan",2019,100,92.8,227.14,279670000,1.7,95.39,NA,11.09,10.415101,43404.29,6.27,212110.0006,3.468928,4.5,9812.595808,7,2724900,48.019573,66.923684
"1302","Kazakhstan",2020,100,92.7,266.15,NA,NA,96.7,NA,11.94,10.990427,39590.598,NA,NA,3.9000363,-2.5,9122.23343,7,2724900,48.019573,66.923684
"274","Bhutan",2000,31.15,27.8,582.64,4890000,91.4,0,0,1.79,100,8469.052,18.42,210,NA,3.355068285,718.196337,20,38394,27.514162,90.433601
"275","Bhutan",2001,40.04513,30.9,595.48,2490000,91.75,0,0,1.92,100,9100.751,17.29,230,NA,8.348954483,764.4328082,20,38394,27.514162,90.433601
"276","Bhutan",2002,43.978878,34.8,671.45,25880000,91.2,0,0,2.18,100,9810.103,15.99,239.9999946,NA,10.99228184,845.5006721,20,38394,27.514162,90.433601
"277","Bhutan",2003,41.1,38.8,682.71,NA,91.92,0,0,2.5,100,10658.221,14.96,259.9999905,NA,7.823302361,962.0953713,20,38394,27.514162,90.433601
"278","Bhutan",2004,51.83301,42.7,670.98,NA,93.46,0,0,2.33,100,10014.694,14.15,289.9999917,NA,6.008742236,1068.431811,20,38394,27.514162,90.433601
"279","Bhutan",2005,59.808113,47.3,722.57,1320000,91.67,0,0,2.62,100.00001,11119.834,13.61,319.9999928,NA,7.287249352,1228.432356,20,38394,27.514162,90.433601
"280","Bhutan",2006,59.685055,51.1,712.42,120000,91.92,0,0,4.47,100,17746.78,12.99,319.9999928,NA,6.999738095,1330.977444,20,38394,27.514162,90.433601
"281","Bhutan",2007,71.8,54.65,2238.69,840000,92.07,0,0,6.49,100,21903.543,11.3,319.9999928,NA,18.36085406,1757.190496,20,38394,27.514162,90.433601
"282","Bhutan",2008,67.55525,57.8,2216.23,4250000,91.81,0,0,6.89,100,22370.271,11.12,300.0000119,NA,4.799460612,1828.154677,20,38394,27.514162,90.433601
"283","Bhutan",2009,71.5039,61.2,2194.18,82980000,92.38,0,0,6.93,100,22935.088,10.69,319.9999928,NA,6.748333748,1819.19731,20,38394,27.514162,90.433601
"284","Bhutan",2010,73.28291,63.9,2171.22,22890000,90.8,0,0,7.26,100,24284.154,10.11,400.000006,NA,11.945896,2258.186435,20,38394,27.514162,90.433601
"285","Bhutan",2011,81.76709,66.7,2146.8,90000,89.01,0,0,6.97,100,23369.613,9.47,589.9999738,NA,7.982617041,2563.261224,20,38394,27.514162,90.433601
"286","Bhutan",2012,91.5,68.9,2121.45,3510000,87.32,0,0,6.74,100,22460.117,9.51,639.9999857,NA,5.118400858,2538.949519,20,38394,27.514162,90.433601
"287","Bhutan",2013,87.45114,71.2,2095.61,36930000,86.7,0,0,7.53,100,24615.076,9.41,670.0000167,NA,2.119972633,2472.724753,20,38394,27.514162,90.433601
"288","Bhutan",2014,91.48351,72.9,2069.91,1990000,86.54,0,0,7.15,100,23328.47,9.32,699.9999881,NA,5.77649568,2652.225654,20,38394,27.514162,90.433601
"289","Bhutan",2015,95.530716,75,2218.72,126110000,86.68,0,0,7.73,100,24203.82,8.7,769.9999809,NA,6.642232105,2752.630172,20,38394,27.514162,90.433601
"290","Bhutan",2016,99.58979,76,2192.15,50000,85.02,0,0,7.88,100,24692.543,8.3,930.0000072,NA,8.127033538,2930.574923,20,38394,27.514162,90.433601
"291","Bhutan",2017,97.7,77.4,2166.11,20000,83.63,0,0,7.65,100,24327.346,8.06,970.0000286,NA,4.651834675,3286.596744,20,38394,27.514162,90.433601
"292","Bhutan",2018,99.974365,78.3,2141.06,110000,82.22,0,0,6.89,100,23138.41,8.22,1049.999952,NA,3.055129837,3243.477437,20,38394,27.514162,90.433601
"293","Bhutan",2019,100,79.4,3060.19,7e+05,82.27,0,0,8.95,100,27251.602,7.91,1049.999952,NA,5.755169995,3322.863329,20,38394,27.514162,90.433601
"294","Bhutan",2020,100,80.2,3026.4,NA,NA,0,0,8.95,100,26593.059,NA,NA,NA,-10.07634112,3000.779327,20,38394,27.514162,90.433601
"2269","Sri Lanka",2000,70.2628,16.9,61.59,1470000,64.16,3.28,0,3.17,49.14729,2851.8083,3.12,10930,17.715664,6.00003316,869.696285,341,65610,7.873054,80.771797
"2270","Sri Lanka",2001,63.6,17.5,61.78,3810000,62.93,3.44,0,3.09,47.32006,2750.116,3.06,10850,17.628239,-1.545408134,832.8035723,341,65610,7.873054,80.771797
"2271","Sri Lanka",2002,80.7,17.9,61.89,388260000,62.1,4.12,0,2.68,39.411762,2799.956,3,11390.00034,14.758176,3.964675686,867.4914868,341,65610,7.873054,80.771797
"2272","Sri Lanka",2003,74.99882,18.5,65.33,40000,61.31,4.14,0,3.27,44.129555,2852.4663,3,12409.99985,17.510588,5.940269078,982.195697,341,65610,7.873054,80.771797
"2273","Sri Lanka",2004,76.56858,18.7,66.56,130000,61.61,4.94,0,2.94,37.309643,2745.2893,2.88,12869.99989,16.025322,5.445061278,1065.784437,341,65610,7.873054,80.771797
"2274","Sri Lanka",2005,78.13781,19.5,66.64,24750000,60.08,5.5,0,3.43,38.409855,3140.5315,2.78,13979.99954,16.077099,6.241748045,1248.698185,341,65610,7.873054,80.771797
"2275","Sri Lanka",2006,82.05,19.8,67.32,90000,62.18,4.55,0,3.86,45.897743,3338.2832,2.6,12399.99962,19.959389,7.6682919,1435.816813,341,65610,7.873054,80.771797
"2276","Sri Lanka",2007,80,20.3,67.2,38210000,60.2,5.57,0,3.94,41.430073,3358.7993,2.48,13590.00015,16.628553,6.796826119,1630.388906,341,65610,7.873054,80.771797
"2277","Sri Lanka",2008,82.86739,20.9,68.42,120000,61.58,5.46,0,4.16,43.243244,3134.0298,2.28,12810.00042,18.3665,5.950088145,2037.322103,341,65610,7.873054,80.771797
"2278","Sri Lanka",2009,87.09,21.3,69.79,11750000,63.51,5.67,0,3.94,40.998962,3147.0713,2.24,12289.99996,17.016684,3.538912053,2090.401826,341,65610,7.873054,80.771797
"2279","Sri Lanka",2010,85.3,21.7,71.14,44570000,61.85,4.76,0,5.69,54.44976,3368.2034,2.21,13069.99969,22.894518,8.015967371,2799.648738,341,65610,7.873054,80.771797
"2280","Sri Lanka",2011,87.76,22.3,72.11,7090000,59.25,6.47,0,4.72,42.180515,3623.197,2.21,15420.00008,17.231127,8.404733021,3200.861132,341,65610,7.873054,80.771797
"2281","Sri Lanka",2012,87,23,82.19,225580000,60.7,7.89,0,3.48,30.606861,3708.9927,2.18,16850.00038,12.257574,9.144572246,3350.521876,341,65610,7.873054,80.771797
"2282","Sri Lanka",2013,90.2,24,83.7,2340000,59.88,4.52,0,7.14,61.234993,3748.5815,1.87,14479.99954,24.80347,3.39573265,3610.289363,341,65610,7.873054,80.771797
"2283","Sri Lanka",2014,92.660515,24.8,88.37,119750000,57.31,7.1,0,4.87,40.685043,4007.7144,1.93,17600.00038,15.6329,4.960700592,3819.25353,341,65610,7.873054,80.771797
"2284","Sri Lanka",2015,94.35187,25.75,89.82,450000,52.89,6.38,0,6.34,49.842766,4476.9307,1.94,20360.00061,18.154892,5.007683305,3843.780672,341,65610,7.873054,80.771797
"2285","Sri Lanka",2016,97.5,26.9,92.86,61260000,50.92,9.01,0,4.68,34.185535,4878.142,1.91,21930.00031,12.23384,4.486634531,3886.291502,341,65610,7.873054,80.771797
"2286","Sri Lanka",2017,97.5,28.2,96.99,211630000,49.33,10.1,0,4.59,31.245747,4726.284,1.81,23360.00061,12.293098,3.578169679,4077.043841,341,65610,7.873054,80.771797
"2287","Sri Lanka",2018,99.56487,29.4,101.89,200450000,51.4,7.92,0,7.04,47.058823,4876.866,1.76,21690.00053,18.060566,3.272000479,4059.20823,341,65610,7.873054,80.771797
"2288","Sri Lanka",2019,99.75857,30.6,103.77,170000,49.91,10.18,0,5.71,35.934547,4973.5986,1.78,23780.00069,14.141156,2.255176529,3852.265603,341,65610,7.873054,80.771797
"2289","Sri Lanka",2020,100,32.2,109.83,NA,NA,9.64,0,5.94,38.1258,4853.1104,NA,NA,15.967422,-3.569076137,3680.673477,341,65610,7.873054,80.771797
